,assessmentScore,code,comments,goalClearnessScore,importanceScore,name,percentPassed,points,registered,satisfactionScore,teachingScore,workloadScore,year
145,+46,EITF05,"KommentarerStudierådets kommentarerDe flesta gillade kursen. Det som kan förbättras var att kunna komma åt XAMPP utan egen dator/laptop. Studenterna upplevde att det var hög arbetsbelastning på projektet och att det borde läggas högskolepoäng på projeket och även eventuellt öka högskolepoängen för hela kursen. Kunde gå igenom mer på övningarna. Föreläsaren var väldigt uppskattad.Kurslärarens kommentererKursen fungerar bra, men några förbättringar diskuterades. Justeringar i tiden mellan två försök på online-tentamen, kan komma att utökas till två timmar. För projekten ska kommande peer-review ordnas så att högst tre grupper reviewar samtidigt. Kursen upplevs som tung i förhållande till antalet poäng den ger.Programledarens kommentarerNärvarande på CEQ-mötet var representant för SRD, KL samt PL. Studenterna är nöjda med kursen och den anses viktig för utbildningen. Det var en del diskussion kring projektet men annars uppplevs kursen som bra.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+53,+79,Webbsäkerhet,91%,4.0,81,+71,+49,+27,17/18
146,+49,EITG05,"KommentarerStudierådets kommentarerLaborationen var bra och gav förståelse. Kursen kan förbättras med fler praktiska exempel. Studenterna ansåg att förslaget om att justera föreläsningarnas ordning kan vara bra.Kurslärarens kommentererThis is the first year in which I was giving this course, and I have mostly taken over the content and structure from the previous teacher. Looking at the overall results of the exam, I am quite satisfied. Some students remarked in the evaluation that the questions were very different from the previous years, but the majority was able to adapt well and demonstrate a solid understanding of the material.The students like the laboratories and exercise lessons very much, but would like to have more examples in the lectures to make them more interesting. Unfortunately, we do not have resources for more laboratory hours, but I plan to split the lab into two sessions so that the first one can take place earlier. I am also thinking about including more Matlab examples in the lecture and creating some online quizzes that make the material more accessible.Programledarens kommentarerKursen fungerar bra och lärarna är uppskattade.Det efterlystes att synka övningsledarna så att alla först skulle köra genomgång av teorin innan man gick över till problemlösning - övningarna fick en hel del ros för att de hjälpte till att bygga upp förståelse.Tentamen var lite annorlunda mot tidigare år, vilket störde många studenter. Samtidigt konstaterades att uppgifterna på tentan täcktes väl av kursen. Till nästa år finns en ny extenta att titta på, vilket troligen minskar shockfaktorn något. Helheltsmässigt bedöms ""nya"" tentamen bättre spegla det som bör vara studenternas målbild.Att läraren tog upp konkreta exempel uppskattades, gärna fler sådana till nästa år.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+12,+33,Digital kommunikation,62%,7.5,86,+11,-3,+5,17/18
147,+40,FMAB30,"Studierådets kommentarerKursen var väl genomförd och de enda potentiella förändringarna är småsaker. Kursen får gärna fortsätta i samma stil som detta år.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen fungerar bra och KL uppskattas mycket.KL lade stor vikt vid att alla studenter skulle få förståelse för kursmaterialet. Detta uppskattades mycket av C- och D-studenterna, medan BME-studenterna ofta tyckte att ""det var för lätt"" och ville ha mer utmaningar. Djupare analys av denna diskrepans ligger utanför CEQ-mötets ramar, men då BME generellt är starkare i matematik så är detta kanske inte förvånande. Fördelningen för CEQ-poäng skilde sig av denna anledning (PLs tolkning) kraftigt mellan de olika programmen - märktes särskilt på ""god undervisning"".KLs just-in-time-test uppskattades väldigt mycket av studenterna, och detta upplägg drar åt hållet kontinuerlig examination. Studenterna får under kursens gång veta hur de ligger till. I samband med detta diskuterades även om det skulle vara möjligt och meningsfullt att använda sig av kontinuerliga och självrättande Moodle-test enligt liknande princip.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+62,+69,Flerdimensionell analys,37%,6.0,38,+65,+48,+19,17/18
148,+73,EDAF60,"Studierådets kommentarerDet är en väldigt uppskattad kurs med få klagomål. Att flytta det andra projektet lite så folk hinner förbereda sig hade uppskattats. Att blanda C:are och D:are i projektgrupperna kan också vara bra.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerNärvarande på CEQ-mötet var representanter från SRD, KL och PL. Kursen anses som bra och viktig för utbildningen. Det var en del diskussion kring styrningen av projektet, bland annat hur gruppindelningen görs.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+50,+93,Objektorienterad modellering och design,71%,4.5,21,+71,+76,+10,17/18
149,+20,EITA55,"KommentarerStudierådets kommentarerStudenterna ansåg att kursen kändes problematisk p.g.a. problem med kurshemsidan där det stod felaktig information angående datum samt uppgifter. Studenterna ansåg även att tentan var svårare i år än tidigare.Kurslärarens kommentererDen negativa trenden vad avser tentaresultatet har brutits. Detta är desto mer positivt då jag själv tycker att tentan var något svårare än tidigare år.Det var förvånande att se att alla staplar i sammanfattningfiguren blivit så negativa. Mötet kom dock överens om att det troligen beror på den mindre tydliga informationen och felaktigheterna på webbsidan. Ännu mer förvånande att inget om dessa problem meddelades kusrledning under kursen, när problemet kunde rättas till.Synkronisering mellan kursledning/lärare och labbhandledare behöver ses över.Programledarens kommentarerKursen fick sämre omdöme mot tidigare år utan någon egentlig kursförändring. Största missnöjet tycks ha orsakats av att informationen på kurshemsidan inte presenterades tydligt - vilket ska fixas till nästa år. I övrigt uppskattas både lärare, projekt, labbar och övningar.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-23,+76,Kommunikationssystem,60%,7.5,47,+6,+2,+0,17/18
150,+46,EITF05,"KommentarerStudierådets kommentarerDe flesta gillade kursen. Det som kan förbättras var att kunna komma åt XAMPP utan egen dator/laptop. Studenterna upplevde att det var hög arbetsbelastning på projektet och att det borde läggas högskolepoäng på projeket och även eventuellt öka högskolepoängen för hela kursen. Kunde gå igenom mer på övningarna. Föreläsaren var väldigt uppskattad.Kurslärarens kommentererKursen fungerar bra, men några förbättringar diskuterades. Justeringar i tiden mellan två försök på online-tentamen, kan komma att utökas till två timmar. För projekten ska kommande peer-review ordnas så att högst tre grupper reviewar samtidigt. Kursen upplevs som tung i förhållande till antalet poäng den ger.Programledarens kommentarerNärvarande på CEQ-mötet var representant för SRD, KL samt PL. Studenterna är nöjda med kursen och den anses viktig för utbildningen. Det var en del diskussion kring projektet men annars uppplevs kursen som bra.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+53,+79,Webbsäkerhet,91%,4.0,81,+71,+49,+27,17/18
151,+49,EITG05,"KommentarerStudierådets kommentarerLaborationen var bra och gav förståelse. Kursen kan förbättras med fler praktiska exempel. Studenterna ansåg att förslaget om att justera föreläsningarnas ordning kan vara bra.Kurslärarens kommentererThis is the first year in which I was giving this course, and I have mostly taken over the content and structure from the previous teacher. Looking at the overall results of the exam, I am quite satisfied. Some students remarked in the evaluation that the questions were very different from the previous years, but the majority was able to adapt well and demonstrate a solid understanding of the material.The students like the laboratories and exercise lessons very much, but would like to have more examples in the lectures to make them more interesting. Unfortunately, we do not have resources for more laboratory hours, but I plan to split the lab into two sessions so that the first one can take place earlier. I am also thinking about including more Matlab examples in the lecture and creating some online quizzes that make the material more accessible.Programledarens kommentarerKursen fungerar bra och lärarna är uppskattade.Det efterlystes att synka övningsledarna så att alla först skulle köra genomgång av teorin innan man gick över till problemlösning - övningarna fick en hel del ros för att de hjälpte till att bygga upp förståelse.Tentamen var lite annorlunda mot tidigare år, vilket störde många studenter. Samtidigt konstaterades att uppgifterna på tentan täcktes väl av kursen. Till nästa år finns en ny extenta att titta på, vilket troligen minskar shockfaktorn något. Helheltsmässigt bedöms ""nya"" tentamen bättre spegla det som bör vara studenternas målbild.Att läraren tog upp konkreta exempel uppskattades, gärna fler sådana till nästa år.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+12,+33,Digital kommunikation,62%,7.5,86,+11,-3,+5,17/18
152,+40,FMAB30,"Studierådets kommentarerKursen var väl genomförd och de enda potentiella förändringarna är småsaker. Kursen får gärna fortsätta i samma stil som detta år.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen fungerar bra och KL uppskattas mycket.KL lade stor vikt vid att alla studenter skulle få förståelse för kursmaterialet. Detta uppskattades mycket av C- och D-studenterna, medan BME-studenterna ofta tyckte att ""det var för lätt"" och ville ha mer utmaningar. Djupare analys av denna diskrepans ligger utanför CEQ-mötets ramar, men då BME generellt är starkare i matematik så är detta kanske inte förvånande. Fördelningen för CEQ-poäng skilde sig av denna anledning (PLs tolkning) kraftigt mellan de olika programmen - märktes särskilt på ""god undervisning"".KLs just-in-time-test uppskattades väldigt mycket av studenterna, och detta upplägg drar åt hållet kontinuerlig examination. Studenterna får under kursens gång veta hur de ligger till. I samband med detta diskuterades även om det skulle vara möjligt och meningsfullt att använda sig av kontinuerliga och självrättande Moodle-test enligt liknande princip.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+62,+69,Flerdimensionell analys,37%,6.0,38,+65,+48,+19,17/18
153,+62,EDA260,"Studierådets kommentarerSvårt att bedöma kursen utifrån enkäter och egna kommentarer, då varje grupp hade olika tillvägagångsätt i sin problemlösning. Dock verkar det som att de grupper som hade roligast och lärde sig mest hade de mest engagerade coacher. Inledningsvis uppfattades kursens moment som tråkiga/onödiga men efter varje avklarat moment var den allmänna uppfattningen att det som gicks igenom var otroligt relevant och dessutom intressant. En kurs som många i efterhand tyckte gav otroligt mycket både i programmeringskunskaper och problemlösning i allmänhet. Kursen är extremt relevant för utbildningen men även för de flesta elevers intresse.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen är viktig för D-linjen då den ger studenterna möjlighet att få erfarenhet av programutveckling i grupp. De får erfarenhet av relevanta utvecklingsmetodiker. Det är även enda kursen som studenterna skriver ett större program själva från grunden. Kursen är även uppskattad av studenterna.Årets kursomgång var lyckad, även om vissa grupper inte fungerade optimalt. Överlag var kursen mycket uppskattad av årets studenter.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+59,+97,Programvaruutveckling i grupp - projekt,97%,6.0,90,+82,+51,+50,11/12
154,+39,EDAA01,"KommentarerStudierådets kommentarerEnligt arbetsrapporten var de flesta som gått kursen nöjda. C-programmet tyckte dock att det var för mycket arbete, men mötet kom fram till att det var för att de läser många tunga kurser samtidigt. Lantmäteri läser fördjupningskursen långt efter den första kursen och därför ska Anna skicka ut en lista på bra saker att repetera innan kursen startar. Anna ska också jobba för att fler ska använda verktyget PeerWise.Kurslärarens kommentererDet är glädjande att så många är nöjda med kursen och finner den relevant för sin utbildning. På CEQ-mötet framkom önskemål om att man inför kursstarten skulle få tips om vad som är viktigast att repetera från grundkursen. Det är en bra idé som ska genomföras. Detta är speciellt viktigt för de studenter som läser kursen under sitt tredje läsår och har ett långt uppehåll mellan grundkursen och fördjupningskursen.Programledarens kommentarerKursen är relevant för D-programmet och även uppskattad av studenterna. Kursansvariga arbetar för att skillnaderna mellan grupperna ska bli små, så alla får samma erfarenhet och övning. Årets kursomgång var väl genomförd med lyckat resultat.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+27,+89,Programmeringsteknik - fördjupningskurs,75%,7.5,121,+47,+21,+25,11/12
155,+10,EIT060,"KommentarerStudierådets kommentarerKursen var väldigt populär hos eleverna, då ämnet dels är väldigt relevant och intressant för såväl C:are som D:are. Föreläsaren är väldigt aktiv under sina föreläsningar vilket fångar elevernas uppmärksamhet väldigt bra. Laborationerna har varit lärorika, då man i praktiken får pröva på ett par av de verktyg och metoder som kan användas för att knäcka lösenord, eller exekvera skadlig kod. Detta är väldigt allmänbildande för eleverna och blir en erfarenhet de sedan kan ha i baktanke även i framtiden. Föreläsaren visar under sina föreläsningar själv intresse och erfarenhet för ämnet vilket gör det hela mycket intressantare, då man verkligen får se att han gör det för att sprida kunskapen, och inte bara för att han måste i sitt jobb.Kurslärarens kommentererKursen har gått bra och studenterna upplever den som mycket angelägen för deras utbildning. Det gäller både C och D. Jag tycker att jag fick väldigt många konstruktiva förslag på förbättringar. Jag ska bli mer tydlig med övningsuppgifterna, dvs var och att de finns. Några tyckte att labbanvisningarna var lite otydliga, främst för den tredje laborationen. Jag håller med om det och ska tydliggöra det tills nästa år, speciellt förberedelsedelarna. Flera studenter skulle också vilja ha mer hjälp i sammansättningen av projektgrupper. Jag ska försöka underlätta detta nästa år och även försöka få dem att ha blandade grupper med studenter från olika program.Programledarens kommentarerProgramledningen för D var inte på CEQ-mötet. Av studenternas svar framgår att kursen är väl uppbyggd och undervisningen håller hög kvalité. Det framgår även att det finns möjlighet till förbättringar, t.ex. arbetsfördelningen under kursen (labb 2/projektet är tunga) samt mindre fokus på termer och mer förståelseinriktad examination. Överlag har kursansvarig gjort ett bra jobb och kursen är relevant för D utbildningen. Jag anser inte att några större förändringar behöver göras.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+22,+88,Datasäkerhet,80%,7.5,90,+60,+44,+18,11/12
156,+42,EIT070,"KommentarerStudierådets kommentarerÖverlag en kurs en stor majoritet av studenterna är nöjda med. Föreläsaren får stort plus för sin pedagogik. Övningsledarna prisas för sin grundlighet.Kritik mot labbhandledningen samt att det mot slutet av kursen var mindre koppling/röd tråd mellan föreläsning, laborationer och övningar. C-programmeringen bör flyttas från föreläsning till (frivilligt) laborationsmoment. Framtiden om kursupplägget diskuterades och alternativ lades fram, men i skrivande stund behöver och kommer inte kursen att ändras nämnvärt - något som är utan problem, då kursen uppfattas som utmärkt.Kurslärarens kommentererKursen går i stort sett mycket bra, men institutionen är medveten om både möjligheten och behovet av modernisering och förändring. Kursen och dess innehåll är starkt kopplade till kursen i Datorarkitektur, och all förändring måste ske i samarbete med denna senare kurs. Det är i dagens läge oklart vad som skall göras och under vilket år.Till nästa år kommer en det att ske en genomgång av laborationshandledningarna.Under CEQ-mötet berättade representanter från D-programmet att många tyckte att kursen kändes mycket inspirerande för just valet av utbildning, och E-programmet var också mycket positivt. Kursansvarig tackar för detta och konstaterar att den typen av positiv kritik också känns mycket inspirerande.Programledarens kommentarerKursen är mycket relevant för D-programmet. Den uppskattas även av studenterna. Efter årets kursomgång fanns mest beröm till läraren. Han tog till sig av den kritik som framfördes, bl.a. kommer labbarna att ses över.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+52,+93,Datorteknik,95%,6.0,103,+81,+45,+47,11/12
157,+41,FAFF25,"Studierådets kommentarerDetta är en översiktskurs som ligger väldigt sent.För oss som läser kinainriktning kan den läsas i 4an. Annars i 3an. Det bör eftersträvas att i framtiden lägga denna kurs tidigare i utbildningen, det gör inget att dela upp den i två delar för att kanske få den första första året och andra halvan andra året. Kursen som stort kändes ok men projektet kändes väldigt krystat. Det vore fördelaktigt om projekten kunde anpassas till områden som fortfarande når fysik och miljö men även områden som anknyter till IT. Exempelvis facebook bygger serverhallar i Luleå. De från programledningen erbjuder sig att eventuellt fixa fram handledare från instutionen att bistå med hjälp under nästa års projekt. Projektredovisningarna hade mått gott av att få någon som helst feedback av sin handledare.Kurslärarens kommentererÅrets största förändring var byte av litteratur på fotonikdelen samt nyutveckling av fiberoptilaborationen. Enl utvärderingens direkta frågor ang. dessa punkter noterar vi med glädje att de verkar ha uppskattats av de flesta studenterna. Inför nästa år ska vi genomföra en separat kursutvärdering efter termodynamikdelen på hösten för att göra utvärderingsprocessen tydligare. Vi ska också jobba på att förbättra återkopplingen på själva presentationerna av projekten.Större förändringar som både lärarna och studentrepresentanten önskar (och har gjort sedan kursen drogs igång) är att flytta den till en tidigare årskurs. För att underlätta denna process är det enligt vår mening fullt möjligt att dela kursen i en 6 hp kurs med termodynamik och projekt i hållbar utveckling samt en 5 hp kurs i fotonik.Programledarens kommentarerKursen är en breddningskurs för D-studenterna. Många upplever att den inte är relevant för deras utbildning. En bidragande orsak till det är att den kommer sent i utbildningen. Det är dock svårt att flytta den till tidigare år. Programledningen har tagit till sig dessa kommentarer och kommer att beakta dem inför framtida omstruktureringar på programmet.En annan möjlighet för att öka den upplevda relevansen är att använda projektuppgifter med en tydligare datakoppling för delen om hållbar utveckling. Hör måste dock programledningen och institutionen för datavetenskap bidra med ämneskompetens.Årets kursomgång är väl genomförd med ett gott utfall.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-13,-42,Fysik,58%,11.0,91,-9,-8,-16,11/12
158,+42,FMAA01,"KommentarerStudierådets kommentarerD:arna uppskattade föreläsaren och den nya kursboken. Den bristande uppslutningen på övningar och en viss mån även på föreläsningar, berodde till stor del på de dåliga tiderna (tidigt på morgonen och sent på eftermiddagen).Kurslärarens kommentererJag tycker det verkar som kursen ""gått hem"" som tänkt. Den administrativa presentationen runt omkring ska förbättras till nästa år (hur man hittar information etc). Föreläsaren lovar att jobba med sin handstil.Programledarens kommentarerD-teknologerna var över lag nöjda med kursen. Studenterna från andra program har varit mer kritiska mot kursen, men då har det främst handlat om enstaka övningsledare. SI-övningarna har uppskattats av studenterna och statistik visar att studenter som är med på SI-övningarna i större utsträckning klarar kursen.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+34,+49,Endimensionell analys,47%,15.0,129,+31,+10,+0,11/12
159,+88,FMAF01,"Studierådets kommentarerEn del studenter tycker att det är svårt att hinna ta till sig allt material under datorlaborationerna, men de anses vara givande. Schemat fungerar bra för studenter på samtliga program. Föreläsaren önskar att få mer schemalagd tid till föreläsningar för att hinna gå igenom alla moment på ett bättre sätt. Föreläsaren anses generellt vara mycket bra. Det togs upp diskussion huruvida inlämningsuppgifterna ska ersättas med muntliga uppgifter, delvis på grund av negativt svarsresultat genom CEQ-frågorna. Många studenter tycker dock att inlämningsuppgifterna varit givande, och att CEQ-svaren inte speglar verkligheten i frågan.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerProgramledningen för D har inte varit på något CEQ-möte. Överlag är studenterna nöjde med kursen även om de anser att arbetsbelastningen är för hög.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+38,0,Matematik - Funktionsteori,63%,7.0,8,+67,+31,-63,11/12
160,+48,FMAF10,"Studierådets kommentarerÅsikter om att laborationerna ej ger någon förståelse togs upp - för lätt att copy-paste:a. Stora önskemål om att föreläsningsanteckningar läggs upp. I överlag en trevlig kurs som uppskattas enormt/ är relevant inför kursen Digital Signalbehandling där färdigheterna från LinSys används flitigt/ofta. Önskemål om att föreläsaren antingen skriver eller talar tydligare framfördes. En tydlig/detaljerad kursplan med läsanvisningar önskas - många elever hade svårt att hänga med om de mot förmodan missat föreläsning/övning. Ett stort plus till föreläsaren som efter önskemål från elever införde ett extra övningstillfälle i veckan. Föreläsaren prisas av många för sitt engagemang och sin entusiasm, speciellt under övningstillfällen då man alltid fick problement utförligt förklarat för sig.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerStudenterna är positiva till föreläsaren och uppskattar hans föreläsningar.Många studenter efterfrågade tillgång till föreläsningsanteckningar. Detta materialet ägs dock av föreläsaren och det är upp till denna om materialet ska delas ut. Föreläsaren kan välja att inte dela ut dessa för att stimulera studenterna att tänka själva.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+33,+29,Tillämpad matematik - Linjära system,49%,5.0,93,+36,+12,+28,11/12
161,+75,EDAF05,Studierådets kommentarerDetta är en väldigt uppskattad kurs och alla älskar den.Det har varit mycket god respons till forumsystemet Piazza och alla önskar att föreläsaren fortsätter med det.Thores passion till ämnet syns verkligen.Det finns även önskemål om övningar till kursen samt fler labbledare men efter diskussion under utvärdeeringsmötet kom vi fram till att den ekonomiska aspekten spelar in.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen är viktig för D-programmet. Årets kursomgång var lyckad och läraren är mycket uppskattad av eleverna. Övningsuppgifter finns tillgängliga för självstudie.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+48,+92,"Algoritmer, datastrukturer och komplexitet",70%,5.0,104,+77,+56,+25,11/12
162,+28,ETI265,"Studierådets kommentarerDe flesta studenterna tycker att de är en intressant kurs. Konceptet med duggor och inlämningsuppgifter ses som positivt hos studenterna.Laborationerna är intressanta och roliga men det är oftast krånlig handledning och ofta behöver man be om hjälp från labbledaren. D:arna saknar matlab kunskap för att helt kunna följa laborationerna.Övningarna känns inte direkt kopplade till föreläsning. Det känns som ett för stort hopp, detta höll föreläsaren med om under CEQ mötet. En möjlighet som diskuterades under CEQ-mötet är att kanske kunna koppla kursen mer mot andra kurser D:are läser.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen är relevant för D. Kursen har en god pedagogisk uppbyggnad, men kursansvarig bör se över labbarna  och labb-beskrivningarna till nästa år.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+12,-11,Signalbehandling i multimedia,69%,7.5,87,+2,-13,+7,11/12
163,+42,ETIA01,"KommentarerStudierådets kommentarerElektronikkursen verkar ha förbättrats mycket sedan året innan, mycket beroende av föreläsaren. Upplägget på kursen i år har varit bra, med en bra takt. Många har dock haft problem med kursen, av blandade orsaker. Många tycker boken har varit dålig. Det fanns mycket positiva kommentarer om föreläsaren, men övningarna och labbarna har fått lite kritik. Kursansvarig har lovat att prata med övnings- och labbledare. Kursansvarig tänker även göra om samanfattningen av kursen och dela ut den tidigare, och även se igenom alla övningar för att kolla vilka uppgifter som är lämpliga att ha kvar och om andra uppgifter ska läggas till. Det finns mycket att förbättra i kursen, men det känns, baserat på CEQ-mötet, som att mycket kommer förändras tills nästa år.Kurslärarens kommentererKursen har omarbetats inför året och har kanske inte nått sitt slutliga utseende ännu. Jag försökte få över innehållet till mer D-användbart men hade rätt kort om tid för detta då jag fick kursen. Till nästa år kommer ytterligare förändringar att göras baserat på bl.a. årets ceq. T.ex. kommer bokens uppgifter att väljas mer omsorgsfullt om jag inte hittar en bättre bok. Sammanfattningar kommer att ges ut varje vecka med mer tydliga mål för vad som ska kunnas i avsnitten. I stort ser jag en trend att kursen förbättrat sina siffror och hoppas det fortsätter efter kommande års omarbetning.Programledarens kommentarerI år har kursen fått ny kursansvarig och han har gjort förändringar i kursen baserat på tidigare års kritik från studenterna. Överlag har förändringarna inneburit en förbättring, men finns fortfarande en del som kan förbättras. Detta diskuterades under CEQ-mötet och programledningen bedömer att kursen kommer att bli bättre nästa år.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-36,-2,Elektronik,44%,8.0,128,-13,-22,-25,11/12
164,+34,ETS075,"Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererEnligt årets CEQ utvärdering fungerarade kursen sämre i år än förra året, trots att vi åtgärdat Laboration 1 (för att minska upplevd stress). Detta är lite förbryllande, och diskuterades vid CEQ mötet. Min tolkning är att tydligheten nästa år måste öka i kursen, dels gentemot praktiska tillämpningar och dels gentemot de kurser som har naturliga kopplingar till denna kurs. Den inledande veckan, som till stor del är en repetition av sannolikheter och medelvärden, bör även innehålla mer kursspecifikt material.Programledarens kommentarerKursen är relevant för D då den ger bredd i utbildningen. Det är viktigt att läraren motiverar och kopplar kursens innehåll till praktiska tillämpningar inom datateknikområdet.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+10,+9,Kösystem,81%,4.5,90,+12,-10,+46,11/12
165,+30,ETSA01,"KommentarerStudierådets kommentarerKursen har fått sämre kritik jämfört med förra året. Många har skrivit på utvärderingarna att det har fungerat bra med äldre studenter som handledare för cykelgarage-projektet. Några har varit mindre nöjda med övningarna. Kursledarens tolkning är att övningarna har fungerat bra i de mindre grupperna, men att det varit svårt att få tag i lokaler så att en större grupp därför har fått ha övningarna i Gasquesalen i Kårhuset. I den stora gruppen blir övningarna mer generella och det har inte varit möjligt för övningsledarna att ge personlig feedback på gruppernas projekt. Vid några tillfällen har det varit problem att få bland annat bildspelen att fungera i Gasquesalen. Kursledaren ska försöka få tag på fler salar och fler doktorander som kan hålla i övningarna tills nästa kursomgång.På mötet diskuterades problemen med de stora projektgrupperna (6-7 personer i varje). Ofta ligger medlemmarna i så stora grupper på olika ambitionsnivåer och arbetsfördelningen blir ojämn som följd. Mötet var enigt om att mindre grupper i cykelgarage-projetet är att föredra. Det har dock inte varit möjligt tidigare av kostnadsskäl.Många har kritiserat samarbetsverktyget MoinMoin som använts i projektet. Det gäller studenter både på D, som använt det tidigare i kursen Datorer i System, och på andra program som inte gjort det, exempelvis C och I. Kursledaren håller med om att MoinMoin är dåligt, men hävdar att han inte hittat något bättre alternativ och är öppen för förslag. Kriteriet är att programvaran måste ha låg inlärningströskel, eftersom det inte finns utrymme i kursen för att lära ut hur verktygen fungerar.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerÅrets kursomgång blev en utmaning för kursledaren då antalet studenter som läste kursen blev fler än vad som förväntades. Det medförda att bokade salarna och övningsledarna inte räckte till. Konsekvensen blev större övningsgrupper i olämpliga lokaler. detta påverkade givetvis undervisningen negativt. Programledningen förväntar sig att detta inte upprepas nästa år.När kursansvarig tog över kursen förra året ändrade han upplägget för undervisninge, vilket gav positiva  resultat. Med tillräckliga resurser, i forma av övningsledare och salar, tror jag kursen blir bättre nästa år.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-21,+73,Ingenjörsprocessen för programvaruutveckling - metodik,89%,5.0,122,+2,+5,-4,11/12
166,+21,ETSA05,"Studierådets kommentarerDet märks att föreläsaren inte är allt för van i att föreläsa och hans osäkerhet speglas under föreläsningarna.Dessvärre är detta inte en allt för uppskattad kurs och många känner bara att detta är något som måste bli gjort.Kurslärarens kommentererÖverlag tycker studenterna inte att kursen är relevant för deras utbildning. En möjlig orsak till detta kan vara att kursen behandlar samhällsaspekter, vilket ligger utanför många studenters primära intresse. För att bidra till att studenterna ser relevansen bör vi vara tydligare med att klargöra kunskapsmål, färdighetsmål och attitydmål för kursen. Vidare, fler exempel från verkliga livet kanske kan bidra till att de ser relevansen.En kritik gällande undervisning var att jag var för beroende av föreläsnings-slidesen och att det borde vara mer diskussioner på föreläsningarna. Inför nästa år ska jag se över hur vi kan introducera mer diskussioner på föreläsningarna och försöka hitta en bra balans för att använda föreläsnings-slidesen mer som ett stöd till innehållet på föreläsningen.Programledarens kommentarerKursen är viktig för att bredda studenternas kunskapsbas och för att öka förståelsen för hur deras framtida arbetsuppgifter påverkar övriga samhället. Det är viktigt att detta kommuniceras till studenterna.I år var det en ny kursansvarig som tagit över kursen. Överlämningen av kursmaterialet försvårades då den gamla kursansvariga befann sig utomlands. Detta påverkade kursen. Nästa år har föreläsaren lite mer erfarenhet av både kursinnehållet och av rollen som lärare vilket skapar förutsättningar för förbättringar.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-5,-11,Ingenjörsprocessen för programvaruutveckling - samhällsaspekter,96%,4.0,97,-17,-20,+44,11/12
167,+5,ETSF01,Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKommentarer har ej inkommet före utsatt tidCEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,-8,+6,Ingenjörsprocessen för programvaruutveckling - ekonomi och kvalitet,91%,4.0,88,-31,-28,+57,11/12
168,+40,FMA420,KommentarerStudierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKommentarer har ej inkommet före utsatt tidCEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+37,+54,Linjär algebra,62%,6.0,115,+61,+24,+27,11/12
169,+71,FMAF05,Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerFöreläsaren uppskattades mycket av studenterna. Inför nästa kursomgång bör rättningen av inlämningsuppgifter synkroniseras mellan alla inblandade i kursen. Programledningen ser det som viktigt att alla får en likvärdig och rättvis bedömning av sina rapporter.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+58,+33,Matematik - System och transformer,80%,7.0,5,+83,+72,-67,11/12
